Ticket Number,Status,Creator Area,Use Case,Subject,Priority,Description,Start,SLA Ticket,Network Element Identifier,Loc Identifier,Assignee Area,Response Subject,Response Description
Z_INM200000A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXV5X0Q; detected event: transport congestion,3/5/2026 0:30,3/5/2026 5:30,OXV5X0Q,0R2CW,G-IP-OPS,Root cause fixed,"Temporary degradation observed, system self-recovered."
Z_INM200001A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,5,RoboNOC ticket for OXVLAZK; detected event: störung - rbs - huawei 4g,3/5/2026 0:31,3/6/2026 8:31,OXVLAZK,LW0OP,G-IP-OPS,No impact confirmed,Network element unreachable briefly; connectivity restored.
Z_INM200002A001,Open,G-CORE-OPS,Network-Incident,High CPU Usage,3,RoboNOC ticket for OXVU3RO; detected event: high cpu usage,3/5/2026 0:32,3/7/2026 14:32,OXVU3RO,XWN9N,G-RAN-FO-VFRO-ZV,No impact confirmed,"Temporary degradation observed, system self-recovered. No recurrence observed in the last monitoring window."
Z_INM200003A001,Open,G-IP-OPS,Network-Incident,Link Down,3,RoboNOC ticket for OXV2ZKD; detected event: link down,3/5/2026 0:33,3/5/2026 7:33,OXV2ZKD,XN5ES,G-CORE-OPS,Issue resolved,Capacity threshold updated to prevent future false alerts. Additional validation checks completed successfully.
Z_INM200004A001,In Progress,G-IP-OPS,Network-Incident,Link Down,5,RoboNOC ticket for OXVY2JI; detected event: link down,3/5/2026 0:34,3/7/2026 20:34,OXVY2JI,YOPJ4,G-RAN-BO-VFRO-ZV,Monitoring ongoing,"Intermittent issue mitigated, root cause still under observation."
Z_INM200005A001,Closed,G-CORE-OPS,Network-Incident,Link Down,4,RoboNOC ticket for OXV3MBQ; detected event: link down,3/5/2026 0:35,3/6/2026 21:35,OXV3MBQ,QE1IN,G-RAN-FO-VFRO-ZV,Issue resolved,Signal fluctuation detected; no persistent fault found. No recurrence observed in the last monitoring window.
Z_INM200006A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,3,RoboNOC ticket for OXVVIFM; detected event: störung - rbs - huawei 4g,3/5/2026 0:36,3/7/2026 3:36,OXVVIFM,PV4IP,G-CORE-OPS,Root cause fixed,Hardware module reset remotely. Traffic restored without errors. Additional validation checks completed successfully.
Z_INM200007A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,3,RoboNOC ticket for OXVJDIP; detected event: störung - rbs - huawei 4g,3/5/2026 0:37,3/5/2026 14:37,OXVJDIP,8T1JM,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,Issue correlated with planned maintenance. No action needed. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200008A001,Open,G-IP-OPS,Network-Incident,Störung - RBS - Huawei 4G,4,RoboNOC ticket for OXVDTLL; detected event: störung - rbs - huawei 4g,3/5/2026 0:38,3/7/2026 20:38,OXVDTLL,MXJW5,G-IP-OPS,Issue resolved,Manual intervention performed: service restarted and stability confirmed.
Z_INM200009A001,Open,G-CORE-OPS,Network-Incident,Packet Loss Detected,5,RoboNOC ticket for OXVQ30I; detected event: packet loss detected,3/5/2026 0:39,3/5/2026 18:39,OXVQ30I,8VM1N,G-RAN-FO-VFRO-ZV,Root cause fixed,Configuration rollback applied to previous stable version.
Z_INM200010A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,2,RoboNOC ticket for OXVLTS5; detected event: transport congestion,3/5/2026 0:40,3/7/2026 8:40,OXVLTS5,PD3QA,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,High load condition normalized after capacity rebalancing. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200011A001,Closed,G-IP-OPS,Network-Incident,Transport Congestion,2,RoboNOC ticket for OXV7SF6; detected event: transport congestion,3/5/2026 0:41,3/7/2026 20:41,OXV7SF6,QNYZQ,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Ticket closed after validation checks passed. Additional validation checks completed successfully.
Z_INM200012A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,Link Down,4,RoboNOC ticket for OXVHHBL; detected event: link down,3/5/2026 0:42,3/7/2026 7:42,OXVHHBL,Z5DWU,G-CORE-OPS,Issue resolved,Alarm cleared after software patch deployment.
